,names,link,research_field,subfaculty,faculty,link_CU,research_interest
406,Costantino Grasso,https://scholar.google.co.uk/citations?hl=en&user=dOAYjXgAAAAJ,"Financial Crime, Corporate Governance, Corporate Social Responsibility, Business Ethics",School of Law,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/costantino-grasso,"Biography: 

Dr Costantino Grasso is Senior Lecturer in Law at Coventry University and Global MBA module leader for Corporate Governance and Ethics at the University of London. He is an expert in corporate social responsibility, business ethics, corporate governance and financial crime.
He has served as a consultant, advisor, and lecturer on topics related to those matters for the European Union and Council of Europe as well as national governments, academic institutions and firms in Europe and North America.Dr Costantino Grasso holds a LLB (Hons.), PgD, LLM and PhD in internationalization of criminal law policies and corporate crime. He is the editor in chief of the Corporate Social Responsibility and Business Ethics Blog and member of the Society of Business Ethics (USA).
In 2012, he was selected as an international expert and rapporteur for the European Union Project ‘Prevention of fraud, corruption and bribery committed through legal entities for the purpose of financial and economic gain’ led by the T.M.C. Asser Institute in cooperation with the Dutch Ministry of Justice. In October 2017, he was appointed as an international expert for the Council of Europe within the project ""Strengthening Capacities to Fight and Prevent Corruption in Azerbaijan."" On that occasion he gave a series of seminars on corporate criminal liability and undertook an assessment of the most recent legal innovations introduced in Azerbaijan producing a set of recommendations. In December 2017, he was appointed as an international expert within the European Union/Council of Europe project “Fight against corruption and fostering good governance in Belarus” and delivered a series of seminars on corporate Liability and punishment to representatives of the General Prosecutor's Office, Ministry of Internal Affairs, Investigative Committee, and Ministry of Justice. 
As of June 2018, Dr Costantino Grasso has been appointed as an international expert in the area of corruption and good governance by the Council of Europe - Directorate General Human Rights and Rule of Law -  Economic Crime and Cooperation Division (Tender 2017/AO/51).  
Being qualified as a solicitor in England and Wales and as a lawyer in Italy, he has always combined academic activities with legal practice. In 2014, he worked as a corporate governance and compliance specialist for the Serious Fraud Office participating in the first-ever U.K. Deferred Prosecution Agreement between that prosecuting body and ICBC Standard Bank Plc, which concerned a complex case of transnational bribery. On that occasion, he received an award for the substantial input into the success of the agreement and, on 23 November 2016, he was awarded as a member of the case team the UK Government Legal Department's Prosecutor of the Year Award. Although he did not accept the role due to the impracticality of serving judicial functions abroad, on 19 July 2017 he was appointed by the Italian Ministry of Justice as an honorary judge at the Court of Turin.
 

"
407,Tom Bason,https://scholar.google.co.uk/citations?hl=en&user=kTYULh8AAAAJ,Sport,School of Marketing and Management,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/tom-bason,Research Interests: Sport Mega-Events; CSR; Sport policy; Sport Management
408,Ali Shafiq,https://scholar.google.co.uk/citations?hl=en&user=Fypvkv8AAAAJ,"Ethical consumer behaviour, ethics in marketing, Islamic marketing, Islamic advertising",School of Marketing and Management,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/ali-shafiq,None: None
409,neil forbes,https://scholar.google.co.uk/citations?hl=en&user=C3mH_YgAAAAJ,twentieth century international business/economic history,,,,
410,Dr. Mathew Hill,https://scholar.google.co.uk/citations?hl=en&user=x9o1XN4AAAAJ,"Ageing, Fall-risk, Eccentric exercise",,,,
411,Dionysios (Dennis) Touliatos,https://scholar.google.co.uk/citations?hl=en&user=seEUiWUAAAAJ,"agroecology, urban agriculture, vertical farming, organic agriculture",,,,
412,Nirooja Thurairajah,https://scholar.google.co.uk/citations?hl=en&user=CKw3xxgAAAAJ,Disaster reconstruction,,,,
413,Angela Hilmi,https://scholar.google.co.uk/citations?hl=en&user=nVUiuPoAAAAJ,"Agroecology, rural development, transitions, agriculture, food",,,https://pureportal.coventry.ac.uk/en/persons/angela-hilmi,"Biography: 
Dr. Angela Hilmi is an agronomist socio-economist with studies in Anthropology and Sociology of Politics, experienced in sustainable agriculture and rural development with twenty + years of professional experience in Africa, Asia, Latin America and Caribbean, USA and Europe. She holds an MSC in Biology and a PhD in social and economical sciences. She was awarded the 2001 Prix Export for excellence in private business development, named French Foreign Trade Advisor by French Prime Minister 2002, and has participated as Advisor for Partnerships and Alliances in UN-FAO office for Latin America and Caribbean. Angela has been founder and director of KIASMO Space S.L. a pro-peasant platform supporting the peasant way of farming in all continents in close collaboration with world leading peasant organizations. She has in recent years been leading the creation of a new inclusive investment approach bridging private capital and peasant communities. Her previous professional work includes: Secretary of the Strategic Planning Group in the Office of the Assistant Director-General of the Agriculture Department, FAO, Senior Officer in the Crisis Management Centre for the Food Chain, Senior Officer of the International Treaty on Plant Genetic Resources for Food and Agriculture, International Development Director of Ecocert, a world leader in certification of organic agriculture; Natural Resources Officer, and Prevention of Food Losses Officer, FAO Rural Development Division.

Area of Expertise:
Food and Agriculture
"
414,Barbara May,https://scholar.google.co.uk/citations?hl=en&user=hiYKgccAAAAJ,Biomechanics,,,https://pureportal.coventry.ac.uk/en/persons/barbara-may,Research Interests: Biomechanics; Rehabilitation; Whole-body muscle modelling; Injury prevention within sport; Age-appropriate exercise for the older person
415,Jordon Lazell,https://scholar.google.co.uk/citations?hl=en&user=9tIN1SUAAAAJ,"Food waste, consumer behaviour, waste, practice theory, ethical consumption",Faculty Research Centre for Business in Society,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/jordon-lazell,"Research Interests: - Consumer food waste behaviour
- Food consumption and food waste practices
- The circular economy
- Sustainable consumption"
